Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2089.3391417512357
1.16e-06,0.875,2089.8025457015215
1.16e-06,1.25,2090.2659496518054
1.16e-06,1.625,2090.7293536020898
1.16e-06,2.0,2091.192757552374
2.402e-05,0.5,102.0491540359176
2.402e-05,0.875,102.51255799494928
2.402e-05,1.25,102.97596194487615
2.402e-05,1.625,103.43936589472261
2.402e-05,2.0,103.90276984456106
4.6880000000000005e-05,0.5,52.875596374746614
4.6880000000000005e-05,0.875,53.33900032453505
4.6880000000000005e-05,1.25,53.80240427922418
4.6880000000000005e-05,1.625,54.26580822411143
4.6880000000000005e-05,2.0,54.729212173899604
6.973999999999999e-05,0.5,45.056374187475825
6.973999999999999e-05,0.875,45.519778137269235
6.973999999999999e-05,1.25,45.983182087062616
6.973999999999999e-05,1.625,46.44658603685603
6.973999999999999e-05,2.0,46.90998998664941
9.26e-05,0.5,34.23130468618072
9.26e-05,0.875,34.69470863597414
9.26e-05,1.25,35.15811258576752
9.26e-05,1.625,35.62151653556091
9.26e-05,2.0,36.084920485354296
