Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2088.134885066907
1.16e-06,0.875,2088.1358586182596
1.16e-06,1.25,2088.136832169612
1.16e-06,1.625,2088.1378057209654
1.16e-06,2.0,2088.1387792723176
2.402e-05,0.5,100.84490754566089
2.402e-05,0.875,100.84588109701298
2.402e-05,1.25,100.84685464836508
2.402e-05,1.625,100.84782819971718
2.402e-05,2.0,100.84880175107106
4.6880000000000005e-05,0.5,51.67135011915804
4.6880000000000005e-05,0.875,51.67232367051086
4.6880000000000005e-05,1.25,51.673297221862946
4.6880000000000005e-05,1.625,51.674270773215056
4.6880000000000005e-05,2.0,51.67524432456718
6.973999999999999e-05,0.5,34.73488826965167
6.973999999999999e-05,0.875,34.735861821001684
6.973999999999999e-05,1.25,34.73683537235309
6.973999999999999e-05,1.625,34.73780892370706
6.973999999999999e-05,2.0,34.73878247506153
9.26e-05,0.5,26.160575834393303
9.26e-05,0.875,26.161549385741797
9.26e-05,1.25,26.162522937092746
9.26e-05,1.625,26.16349648844812
9.26e-05,2.0,26.164470039804254
