Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2088.139146432582
1.16e-06,0.875,2088.1417491122065
1.16e-06,1.25,2088.144351791831
1.16e-06,1.625,2088.146954471456
1.16e-06,2.0,2088.1495571510804
2.402e-05,0.5,100.84916892408253
2.402e-05,0.875,100.85177160370517
2.402e-05,1.25,100.85437428332784
2.402e-05,1.625,100.85697696295065
2.402e-05,2.0,100.85957964257479
4.6880000000000005e-05,0.5,51.67561149787401
4.6880000000000005e-05,0.875,51.67821417749674
4.6880000000000005e-05,1.25,51.68081685711877
4.6880000000000005e-05,1.625,51.683419536742186
4.6880000000000005e-05,2.0,51.68602221636491
6.973999999999999e-05,0.5,34.73914964846949
6.973999999999999e-05,0.875,34.74175232809224
6.973999999999999e-05,1.25,34.744355007714965
6.973999999999999e-05,1.625,34.74695768733769
6.973999999999999e-05,2.0,34.74956036696041
9.26e-05,0.5,26.164837213262484
9.26e-05,0.875,26.167439892883912
9.26e-05,1.25,26.170042572506247
9.26e-05,1.625,26.17264525213019
9.26e-05,2.0,26.175247931754324
