Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,14.450752153441526
1.16e-06,0.875,14.455078662768704
1.16e-06,1.25,14.45940517234364
1.16e-06,1.625,14.463731682450234
1.16e-06,2.0,14.468058193384275
2.402e-05,0.5,0.7086419592646881
2.402e-05,0.875,0.71296846914942
2.402e-05,1.25,0.7172949790341889
2.402e-05,1.625,0.7216214889190246
2.402e-05,2.0,0.7259479988039111
4.6880000000000005e-05,0.5,0.3686068096603195
4.6880000000000005e-05,0.875,0.3729333195449034
4.6880000000000005e-05,1.25,0.3772598294296283
4.6880000000000005e-05,1.625,0.381586339314602
4.6880000000000005e-05,2.0,0.3859128491996732
6.973999999999999e-05,0.5,0.2514911759711339
6.973999999999999e-05,0.875,0.2558176858551568
6.973999999999999e-05,1.25,0.2601441957407058
6.973999999999999e-05,1.625,0.26447070562549174
6.973999999999999e-05,2.0,0.2687972155102777
9.26e-05,0.5,0.19219980548076912
9.26e-05,0.875,0.19652631536477633
9.26e-05,1.25,0.200852825249332
9.26e-05,1.625,0.20517933513484893
9.26e-05,2.0,0.20950584502047367
