Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.19575329605341
1.16e-06,0.875,35.88998170964444
1.16e-06,1.25,42.58421012323548
1.16e-06,1.625,49.278438536826506
1.16e-06,2.0,55.97266695041752
2.402e-05,0.5,23.821542169820532
2.402e-05,0.875,30.515770576246315
2.402e-05,1.25,37.2099989826721
2.402e-05,1.625,43.904227389097876
2.402e-05,2.0,50.59845579552366
4.6880000000000005e-05,0.5,24.04585232207265
4.6880000000000005e-05,0.875,30.74008072849818
4.6880000000000005e-05,1.25,37.43430913492373
4.6880000000000005e-05,1.625,44.128537541349274
4.6880000000000005e-05,2.0,50.822765947774826
6.973999999999999e-05,0.5,23.882935560520004
6.973999999999999e-05,0.875,30.577163966945523
6.973999999999999e-05,1.25,37.27139237337107
6.973999999999999e-05,1.625,43.9656207797966
6.973999999999999e-05,2.0,50.65984918622219
9.26e-05,0.5,23.800456750783578
9.26e-05,0.875,30.494685157209098
9.26e-05,1.25,37.18891356363469
9.26e-05,1.625,43.883141970060194
9.26e-05,2.0,50.577370376485725
