Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.716607116520706
1.16e-06,0.875,29.726132416514826
1.16e-06,1.25,29.73565771650889
1.16e-06,1.625,29.745183016502935
1.16e-06,2.0,29.754708316496977
2.402e-05,0.5,1.4672800849782406
2.402e-05,0.875,1.4768053849652956
2.402e-05,1.25,1.4863306849523508
2.402e-05,1.625,1.495855984939406
2.402e-05,2.0,1.505381284926461
4.6880000000000005e-05,0.5,0.7682779661358264
4.6880000000000005e-05,0.875,0.7778032661228881
4.6880000000000005e-05,1.25,0.7873285661099498
4.6880000000000005e-05,1.625,0.7968538660970117
4.6880000000000005e-05,2.0,0.8063791660840738
6.973999999999999e-05,0.5,0.5275261609368372
6.973999999999999e-05,0.875,0.5370514609239101
6.973999999999999e-05,1.25,0.5465767609109832
6.973999999999999e-05,1.625,0.5561020608980562
6.973999999999999e-05,2.0,0.5656273608851297
9.26e-05,0.5,0.40564230966559095
9.26e-05,0.875,0.41516760965267757
9.26e-05,1.25,0.4246929096397645
9.26e-05,1.625,0.4342182096268516
9.26e-05,2.0,0.4437435096139389
