Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,2192.558256427558
1.16e-06,0.875,2192.5591436154687
1.16e-06,1.25,2192.560030803378
1.16e-06,1.625,2192.560917991288
1.16e-06,2.0,2192.561805179198
2.402e-05,0.5,105.90377997074512
2.402e-05,0.875,105.90466715865401
2.402e-05,1.25,105.9055543465629
2.402e-05,1.625,105.90644153447178
2.402e-05,2.0,105.90732872238068
4.6880000000000005e-05,0.5,54.27154467148437
4.6880000000000005e-05,0.875,54.27243185939326
4.6880000000000005e-05,1.25,54.27331904730217
4.6880000000000005e-05,1.625,54.27420623521105
4.6880000000000005e-05,2.0,54.275093423119934
6.973999999999999e-05,0.5,36.488259729009805
6.973999999999999e-05,0.875,36.489146916918706
6.973999999999999e-05,1.25,36.4900341048276
6.973999999999999e-05,1.625,36.49092129273649
6.973999999999999e-05,2.0,36.491808480645375
9.26e-05,0.5,27.485231671739747
9.26e-05,0.875,27.486118859648638
9.26e-05,1.25,27.487006047557532
9.26e-05,1.625,27.487893235466423
9.26e-05,2.0,27.488780423375314
