Flow Rate,Lamp Replacement Factor,LCOW
1.16e-06,0.5,29.710094572723275
1.16e-06,0.875,29.71403727931126
1.16e-06,1.25,29.71797998589911
1.16e-06,1.625,29.721922692486917
1.16e-06,2.0,29.725865399074706
2.402e-05,0.5,1.4607675414343624
2.402e-05,0.875,1.4647102480192389
2.402e-05,1.25,1.4686529546041154
2.402e-05,1.625,1.4725956611889917
2.402e-05,2.0,1.476538367773868
4.6880000000000005e-05,0.5,0.7617654225976527
4.6880000000000005e-05,0.875,0.7657081291825308
4.6880000000000005e-05,1.25,0.7696508357674088
4.6880000000000005e-05,1.625,0.7735935423522868
4.6880000000000005e-05,2.0,0.7775362489371651
6.973999999999999e-05,0.5,0.5210136174006088
6.973999999999999e-05,0.875,0.5249563239854903
6.973999999999999e-05,1.25,0.528899030570372
6.973999999999999e-05,1.625,0.5328417371552538
6.973999999999999e-05,2.0,0.5367844437401359
9.26e-05,0.5,0.3991297661303297
9.26e-05,0.875,0.40307247271521596
9.26e-05,1.25,0.40701517930010234
9.26e-05,1.625,0.41095788588498905
9.26e-05,2.0,0.41490059246987604
