# Flow Rate,Lamp Replacement Factor,LCOW,Specific Energy Consumption
1.890000e+00,5.000000e-01,2.451085e+00,1.641346e+00
1.890000e+00,6.666667e-01,2.738499e+00,1.641346e+00
1.890000e+00,8.333333e-01,3.025913e+00,1.641346e+00
1.890000e+00,1.000000e+00,3.313326e+00,1.641346e+00
1.890000e+00,1.166667e+00,3.600740e+00,1.641346e+00
1.890000e+00,1.333333e+00,3.888153e+00,1.641346e+00
1.890000e+00,1.500000e+00,4.175566e+00,1.641346e+00
1.890000e+00,1.666667e+00,4.462980e+00,1.641346e+00
1.890000e+00,1.833333e+00,4.750393e+00,1.641346e+00
1.890000e+00,2.000000e+00,5.037807e+00,1.641346e+00
2.381111e+00,5.000000e-01,2.157072e+00,1.302814e+00
2.381111e+00,6.666667e-01,2.385205e+00,1.302814e+00
2.381111e+00,8.333333e-01,2.613339e+00,1.302814e+00
2.381111e+00,1.000000e+00,2.841473e+00,1.302814e+00
2.381111e+00,1.166667e+00,3.069606e+00,1.302814e+00
2.381111e+00,1.333333e+00,3.297740e+00,1.302814e+00
2.381111e+00,1.500000e+00,3.525874e+00,1.302814e+00
2.381111e+00,1.666667e+00,3.754007e+00,1.302814e+00
2.381111e+00,1.833333e+00,3.982141e+00,1.302814e+00
2.381111e+00,2.000000e+00,4.210274e+00,1.302814e+00
2.872222e+00,5.000000e-01,1.963603e+00,1.080050e+00
2.872222e+00,6.666667e-01,2.152729e+00,1.080050e+00
2.872222e+00,8.333333e-01,2.341855e+00,1.080050e+00
2.872222e+00,1.000000e+00,2.530980e+00,1.080050e+00
2.872222e+00,1.166667e+00,2.720106e+00,1.080050e+00
2.872222e+00,1.333333e+00,2.909232e+00,1.080050e+00
2.872222e+00,1.500000e+00,3.098358e+00,1.080050e+00
2.872222e+00,1.666667e+00,3.287484e+00,1.080050e+00
2.872222e+00,1.833333e+00,3.476610e+00,1.080050e+00
2.872222e+00,2.000000e+00,3.665736e+00,1.080050e+00
3.363333e+00,5.000000e-01,1.826634e+00,9.223423e-01
3.363333e+00,6.666667e-01,1.988144e+00,9.223423e-01
3.363333e+00,8.333333e-01,2.149654e+00,9.223423e-01
3.363333e+00,1.000000e+00,2.311164e+00,9.223423e-01
3.363333e+00,1.166667e+00,2.472674e+00,9.223423e-01
3.363333e+00,1.333333e+00,2.634184e+00,9.223423e-01
3.363333e+00,1.500000e+00,2.795693e+00,9.223423e-01
3.363333e+00,1.666667e+00,2.957203e+00,9.223423e-01
3.363333e+00,1.833333e+00,3.118713e+00,9.223423e-01
3.363333e+00,2.000000e+00,3.280223e+00,9.223423e-01
3.854444e+00,5.000000e-01,1.724569e+00,8.048228e-01
3.854444e+00,6.666667e-01,1.865500e+00,8.048228e-01
3.854444e+00,8.333333e-01,2.006432e+00,8.048228e-01
3.854444e+00,1.000000e+00,2.147363e+00,8.048228e-01
3.854444e+00,1.166667e+00,2.288294e+00,8.048228e-01
3.854444e+00,1.333333e+00,2.429225e+00,8.048228e-01
3.854444e+00,1.500000e+00,2.570156e+00,8.048228e-01
3.854444e+00,1.666667e+00,2.711088e+00,8.048228e-01
3.854444e+00,1.833333e+00,2.852019e+00,8.048228e-01
3.854444e+00,2.000000e+00,2.992950e+00,8.048228e-01
4.345556e+00,5.000000e-01,1.645574e+00,7.138661e-01
4.345556e+00,6.666667e-01,1.770578e+00,7.138661e-01
4.345556e+00,8.333333e-01,1.895582e+00,7.138661e-01
4.345556e+00,1.000000e+00,2.020586e+00,7.138661e-01
4.345556e+00,1.166667e+00,2.145590e+00,7.138661e-01
4.345556e+00,1.333333e+00,2.270593e+00,7.138661e-01
4.345556e+00,1.500000e+00,2.395597e+00,7.138661e-01
4.345556e+00,1.666667e+00,2.520601e+00,7.138661e-01
4.345556e+00,1.833333e+00,2.645605e+00,7.138661e-01
4.345556e+00,2.000000e+00,2.770609e+00,7.138661e-01
4.836667e+00,5.000000e-01,1.582621e+00,6.413807e-01
4.836667e+00,6.666667e-01,1.694932e+00,6.413807e-01
4.836667e+00,8.333333e-01,1.807243e+00,6.413807e-01
4.836667e+00,1.000000e+00,1.919554e+00,6.413807e-01
4.836667e+00,1.166667e+00,2.031865e+00,6.413807e-01
4.836667e+00,1.333333e+00,2.144176e+00,6.413807e-01
4.836667e+00,1.500000e+00,2.256487e+00,6.413807e-01
4.836667e+00,1.666667e+00,2.368799e+00,6.413807e-01
4.836667e+00,1.833333e+00,2.481110e+00,6.413807e-01
4.836667e+00,2.000000e+00,2.593421e+00,6.413807e-01
5.327778e+00,5.000000e-01,1.531273e+00,5.822586e-01
5.327778e+00,6.666667e-01,1.633232e+00,5.822586e-01
5.327778e+00,8.333333e-01,1.735190e+00,5.822586e-01
5.327778e+00,1.000000e+00,1.837149e+00,5.822586e-01
5.327778e+00,1.166667e+00,1.939107e+00,5.822586e-01
5.327778e+00,1.333333e+00,2.041065e+00,5.822586e-01
5.327778e+00,1.500000e+00,2.143024e+00,5.822586e-01
5.327778e+00,1.666667e+00,2.244982e+00,5.822586e-01
5.327778e+00,1.833333e+00,2.346940e+00,5.822586e-01
5.327778e+00,2.000000e+00,2.448899e+00,5.822586e-01
5.818889e+00,5.000000e-01,1.488594e+00,5.331163e-01
5.818889e+00,6.666667e-01,1.581947e+00,5.331163e-01
5.818889e+00,8.333333e-01,1.675300e+00,5.331163e-01
5.818889e+00,1.000000e+00,1.768653e+00,5.331163e-01
5.818889e+00,1.166667e+00,1.862006e+00,5.331163e-01
5.818889e+00,1.333333e+00,1.955359e+00,5.331163e-01
5.818889e+00,1.500000e+00,2.048712e+00,5.331163e-01
5.818889e+00,1.666667e+00,2.142066e+00,5.331163e-01
5.818889e+00,1.833333e+00,2.235419e+00,5.331163e-01
5.818889e+00,2.000000e+00,2.328772e+00,5.331163e-01
6.310000e+00,5.000000e-01,1.452557e+00,4.916236e-01
6.310000e+00,6.666667e-01,1.538645e+00,4.916236e-01
6.310000e+00,8.333333e-01,1.624732e+00,4.916236e-01
6.310000e+00,1.000000e+00,1.710820e+00,4.916236e-01
6.310000e+00,1.166667e+00,1.796907e+00,4.916236e-01
6.310000e+00,1.333333e+00,1.882994e+00,4.916236e-01
6.310000e+00,1.500000e+00,1.969082e+00,4.916236e-01
6.310000e+00,1.666667e+00,2.055169e+00,4.916236e-01
6.310000e+00,1.833333e+00,2.141257e+00,4.916236e-01
6.310000e+00,2.000000e+00,2.227344e+00,4.916236e-01
