# Flow Rate,Lamp Replacement Factor,LCOW,Specific Energy Consumption
1.890000e+00,5.000000e-01,2.092813e-01,3.498181e-01
1.890000e+00,6.666667e-01,2.277564e-01,3.498181e-01
1.890000e+00,8.333333e-01,2.462316e-01,3.498181e-01
1.890000e+00,1.000000e+00,2.647067e-01,3.498181e-01
1.890000e+00,1.166667e+00,2.831818e-01,3.498181e-01
1.890000e+00,1.333333e+00,3.016569e-01,3.498181e-01
1.890000e+00,1.500000e+00,3.201320e-01,3.498181e-01
1.890000e+00,1.666667e+00,3.386071e-01,3.498181e-01
1.890000e+00,1.833333e+00,3.570822e-01,3.498181e-01
1.890000e+00,2.000000e+00,3.755573e-01,3.498181e-01
2.381111e+00,5.000000e-01,1.868547e-01,2.776671e-01
2.381111e+00,6.666667e-01,2.015192e-01,2.776671e-01
2.381111e+00,8.333333e-01,2.161838e-01,2.776671e-01
2.381111e+00,1.000000e+00,2.308484e-01,2.776671e-01
2.381111e+00,1.166667e+00,2.455129e-01,2.776671e-01
2.381111e+00,1.333333e+00,2.601775e-01,2.776671e-01
2.381111e+00,1.500000e+00,2.748421e-01,2.776671e-01
2.381111e+00,1.666667e+00,2.895066e-01,2.776671e-01
2.381111e+00,1.833333e+00,3.041712e-01,2.776671e-01
2.381111e+00,2.000000e+00,3.188358e-01,2.776671e-01
2.872222e+00,5.000000e-01,1.720973e-01,2.301898e-01
2.872222e+00,6.666667e-01,1.842545e-01,2.301898e-01
2.872222e+00,8.333333e-01,1.964116e-01,2.301898e-01
2.872222e+00,1.000000e+00,2.085687e-01,2.301898e-01
2.872222e+00,1.166667e+00,2.207258e-01,2.301898e-01
2.872222e+00,1.333333e+00,2.328829e-01,2.301898e-01
2.872222e+00,1.500000e+00,2.450401e-01,2.301898e-01
2.872222e+00,1.666667e+00,2.571972e-01,2.301898e-01
2.872222e+00,1.833333e+00,2.693543e-01,2.301898e-01
2.872222e+00,2.000000e+00,2.815114e-01,2.301898e-01
3.363333e+00,5.000000e-01,1.616497e-01,1.965776e-01
3.363333e+00,6.666667e-01,1.720316e-01,1.965776e-01
3.363333e+00,8.333333e-01,1.824136e-01,1.965776e-01
3.363333e+00,1.000000e+00,1.927955e-01,1.965776e-01
3.363333e+00,1.166667e+00,2.031775e-01,1.965776e-01
3.363333e+00,1.333333e+00,2.135594e-01,1.965776e-01
3.363333e+00,1.500000e+00,2.239414e-01,1.965776e-01
3.363333e+00,1.666667e+00,2.343233e-01,1.965776e-01
3.363333e+00,1.833333e+00,2.447053e-01,1.965776e-01
3.363333e+00,2.000000e+00,2.550872e-01,1.965776e-01
3.854444e+00,5.000000e-01,1.538644e-01,1.715309e-01
3.854444e+00,6.666667e-01,1.629236e-01,1.715309e-01
3.854444e+00,8.333333e-01,1.719827e-01,1.715309e-01
3.854444e+00,1.000000e+00,1.810418e-01,1.715309e-01
3.854444e+00,1.166667e+00,1.901010e-01,1.715309e-01
3.854444e+00,1.333333e+00,1.991601e-01,1.715309e-01
3.854444e+00,1.500000e+00,2.082193e-01,1.715309e-01
3.854444e+00,1.666667e+00,2.172784e-01,1.715309e-01
3.854444e+00,1.833333e+00,2.263375e-01,1.715309e-01
3.854444e+00,2.000000e+00,2.353967e-01,1.715309e-01
4.345556e+00,5.000000e-01,1.478388e-01,1.521454e-01
4.345556e+00,6.666667e-01,1.558742e-01,1.521454e-01
4.345556e+00,8.333333e-01,1.639095e-01,1.521454e-01
4.345556e+00,1.000000e+00,1.719448e-01,1.521454e-01
4.345556e+00,1.166667e+00,1.799801e-01,1.521454e-01
4.345556e+00,1.333333e+00,1.880155e-01,1.521454e-01
4.345556e+00,1.500000e+00,1.960508e-01,1.521454e-01
4.345556e+00,1.666667e+00,2.040861e-01,1.521454e-01
4.345556e+00,1.833333e+00,2.121214e-01,1.521454e-01
4.345556e+00,2.000000e+00,2.201568e-01,1.521454e-01
4.836667e+00,5.000000e-01,1.430369e-01,1.366967e-01
4.836667e+00,6.666667e-01,1.502563e-01,1.366967e-01
4.836667e+00,8.333333e-01,1.574758e-01,1.366967e-01
4.836667e+00,1.000000e+00,1.646952e-01,1.366967e-01
4.836667e+00,1.166667e+00,1.719146e-01,1.366967e-01
4.836667e+00,1.333333e+00,1.791340e-01,1.366967e-01
4.836667e+00,1.500000e+00,1.863535e-01,1.366967e-01
4.836667e+00,1.666667e+00,1.935729e-01,1.366967e-01
4.836667e+00,1.833333e+00,2.007923e-01,1.366967e-01
4.836667e+00,2.000000e+00,2.080118e-01,1.366967e-01
5.327778e+00,5.000000e-01,1.391203e-01,1.240960e-01
5.327778e+00,6.666667e-01,1.456742e-01,1.240960e-01
5.327778e+00,8.333333e-01,1.522282e-01,1.240960e-01
5.327778e+00,1.000000e+00,1.587821e-01,1.240960e-01
5.327778e+00,1.166667e+00,1.653361e-01,1.240960e-01
5.327778e+00,1.333333e+00,1.718900e-01,1.240960e-01
5.327778e+00,1.500000e+00,1.784439e-01,1.240960e-01
5.327778e+00,1.666667e+00,1.849979e-01,1.240960e-01
5.327778e+00,1.833333e+00,1.915518e-01,1.240960e-01
5.327778e+00,2.000000e+00,1.981058e-01,1.240960e-01
5.818889e+00,5.000000e-01,1.358648e-01,1.136224e-01
5.818889e+00,6.666667e-01,1.418656e-01,1.136224e-01
5.818889e+00,8.333333e-01,1.478664e-01,1.136224e-01
5.818889e+00,1.000000e+00,1.538671e-01,1.136224e-01
5.818889e+00,1.166667e+00,1.598679e-01,1.136224e-01
5.818889e+00,1.333333e+00,1.658687e-01,1.136224e-01
5.818889e+00,1.500000e+00,1.718695e-01,1.136224e-01
5.818889e+00,1.666667e+00,1.778703e-01,1.136224e-01
5.818889e+00,1.833333e+00,1.838711e-01,1.136224e-01
5.818889e+00,2.000000e+00,1.898719e-01,1.136224e-01
6.310000e+00,5.000000e-01,1.331160e-01,1.047791e-01
6.310000e+00,6.666667e-01,1.386498e-01,1.047791e-01
6.310000e+00,8.333333e-01,1.441835e-01,1.047791e-01
6.310000e+00,1.000000e+00,1.497173e-01,1.047791e-01
6.310000e+00,1.166667e+00,1.552510e-01,1.047791e-01
6.310000e+00,1.333333e+00,1.607847e-01,1.047791e-01
6.310000e+00,1.500000e+00,1.663185e-01,1.047791e-01
6.310000e+00,1.666667e+00,1.718522e-01,1.047791e-01
6.310000e+00,1.833333e+00,1.773860e-01,1.047791e-01
6.310000e+00,2.000000e+00,1.829197e-01,1.047791e-01
